Formula,Sites,Energy above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Bulk Modulus Voigt,Bulk Modulus Reuss,Bulk Modulus VRH,Shear Modulus Voigt,Shear Modulus Reuss,Shear Modulus VRH
As,2,0.112397205,0.112397205,False,39.5272591948089,6.294908691696857,0.0,79.731,79.731,79.731,38.829,25.932,32.38
As,1,0.558594425,0.558594425,False,19.417655374861265,6.407068275258615,0.0,,,,,,
As,2,0.011004127499999,0.011004127499999,False,45.22928128494773,5.50131420167325,0.0,47.915,14.861,31.388,28.529,12.072,20.3
As,2,1.090449800000001,1.090449800000001,False,258.6518532445048,0.961989965829264,0.0,,,,,,
As,3,0.411891148333333,0.411891148333334,False,67.50334330336351,5.529070308698897,0.0,,,,,,
As,4,0.0,0.0,True,98.54977227954303,5.049641043483309,0.0,,,,,,
Au,2,0.002108505000002,0.002108505000002,False,35.30141737751474,18.53017283362636,0.0,135.103,105.047,120.075,24.708,0.68,12.694
Au,2,0.118381499999998,0.118381499999998,False,39.09758125069183,16.730993180447804,0.0,,,,,,
Au,1,0.021884700000001,0.021884700000001,False,18.207025965875985,17.96398177558859,0.0,,,,,,
Au,1,0.0,0.0,True,18.14473805188449,18.02564918288778,0.0,134.195,134.195,134.195,-6.116,-5.354,-5.735
B,1,0.7073052808333341,0.7073052808333341,False,9.124851294870863,1.9673841544249144,0.0,,,,,,
B,15,0.2146670335,0.2146670335,False,117.09666876429608,2.299649687534881,0.0,,,,,,
B,12,0.482333581666666,0.482333581666666,False,121.21800062347896,1.777170495141998,0.0,,,,,,
B,28,0.029066011071428,0.029066011071428,False,195.5051769462845,2.571074933276366,1.5133,,,,,,
B,48,0.214575271249999,0.214575271249999,False,387.887015614044,2.221523748064862,0.0,,,,,,
B,48,0.32143077,0.32143077,False,403.3485052009759,2.136366456405352,0.0,,,,,,
B,105,0.1906845795,0.190684579500001,False,820.1293109260697,2.298380510285459,0.0,,,,,,
B,12,0.0,0.0,True,86.74916330018324,2.483309878652122,1.433399999999999,212.455,207.99,210.223,184.651,160.132,172.392
B,105,0.019747466261904,0.019747466261904,False,811.6343108154776,2.322436593707364,0.0,198.606,467.803,333.205,5914616.758,254.457,2957435.607
B,50,0.095135117099999,0.095135117099999,False,385.31959825428464,2.329506198276144,0.0,,,,,,
B,108,0.7090749072222221,0.7090749072222221,False,925.9557680028216,2.093864042636918,0.0,,,,,,
B,48,0.155266699166666,0.155266699166666,False,369.7995254938406,2.33018205094197,0.0,,,,,,
B,50,0.223468545633333,0.223468545633334,False,374.022075609553,2.399870090522816,0.0,,,,,,
B,12,0.291535708333333,0.291535708333333,False,94.79220891717328,2.272602955970606,0.0,,,,,,
B,40,1.498615078583333,1.498615078583334,False,688.8523162487112,1.042434636601031,0.5081,,,,,,
Ba,2,0.727831655,0.727831655,False,165.70971951706846,2.752244697095029,0.0,,,,,,
Ba,2,0.018660005,0.018660005,False,130.99637687595612,3.481574892943981,0.0,,,,,,
Ba,1,0.01299892,0.01299892,False,67.56349392648343,3.375148843650796,0.0,,,,,,
Ba,4,0.513503127499999,0.513503127499999,False,217.4943975296203,4.193889148209845,0.0,,,,,,
Ba,2,7.525500000005181e-05,7.525500000005181e-05,False,129.77621450586565,3.514308831818658,0.0,,,,,,
Ba,2,0.0,0.0,True,129.9981809751681,3.508308296137423,0.0,8.934,8.934,8.934,7.071,4.263,5.667
Ba,1,0.359213239999999,0.359213239999999,False,57.678482980244524,3.953586096865328,0.0,,,,,,
Ba,2,0.015972544999999,0.015972544999999,False,135.36181845817492,3.369293512696694,0.0,8.264,8.254,8.259,5.92,3.643,4.782
Ba,4,0.1302275475,0.1302275475,False,261.9251292827098,3.4824737744479,0.0,,,,,,
Ba,1,0.17547373,0.17547373,False,63.01500555783136,3.618770582979633,0.0,7.808,7.808,7.808,5.399,-18.221,-6.411
Ba,2,0.296068739999999,0.296068739999999,False,120.26219359436928,3.79232810550788,0.0,,,,,,
Be,4,0.050546004999999,0.050546004999999,False,32.02601197075165,1.869115680088605,0.0,,,,,,
Be,1,0.095670044999999,0.095670044999999,False,7.871164063017212,1.901253762022695,0.0,125.076,125.076,125.076,140.944,81.964,111.454
Be,4,0.0,0.0,True,31.796370288803224,1.882614921185406,0.0,120.143,119.894,120.019,141.936,125.809,133.872
Bi,4,0.085859414999994,0.085859414999994,False,140.26823971980178,9.895900013623397,0.0,,,,,,
Bi,8,0.100849827499999,0.100849827499999,False,260.3980305264214,10.66122099731683,0.0,,,,,,
Bi,2,0.099048249999995,0.099048249999995,False,67.22840352269499,10.323616229303491,0.0,,,,,,
Bi,4,0.058095357499993,0.058095357499993,False,141.83413575334302,9.786645986041476,0.0,,,,,,
Bi,2,1.077316884999994,1.077316884999994,False,753.5427341232094,0.921036334435118,1.5046,,,,,,
Bi,2,0.081740279999998,0.081740279999998,False,66.82103743263235,10.386552863337029,0.0,,,,,,
Bi,8,0.096277074999996,0.096277074999996,False,269.7884222439204,10.290141169209468,0.0,,,,,,
Bi,4,0.071962377499993,0.071962377499993,False,139.2302754774957,9.969674128659443,0.080799999999999,,,,,,
Bi,4,0.072264969999999,0.072264969999999,False,139.0482246819081,9.982727061273462,0.0655,,,,,,
Bi,2,0.0,0.0,True,73.1719777495792,9.48505505826716,0.0,30.589,24.945,27.767,10.223,6.507,8.365
Bi,2,0.050300225,0.050300225,False,68.05165021785976,10.198727517336696,0.0,43.788,43.452,43.62,13.749,9.347,11.548
Bi,4,0.062386567499999,0.062386567499999,False,140.0493228830796,9.911368700532435,0.0,,,,,,
Bi,4,0.049545179999995,0.049545179999995,False,137.30952847486012,10.10913438252946,0.0,46.757,46.757,46.757,24.698,8.698,16.698
Bi,4,0.214916299999998,0.214916299999998,False,163.60018004690514,8.484590145048406,0.0,,,,,,
Bi,1,0.235286974999993,0.235286974999993,False,31.11691571702084,11.15213737744292,0.0,52.755,52.755,52.755,19.44,13.894,16.667
Bi,1,1.166589019999996,1.166589019999996,False,103.72248764857692,3.345659429363775,0.0,,,,,,
Bi,2,0.5993978949999951,0.5993978949999951,False,113.16755585356532,6.132855237901585,0.0,,,,,,
Br,1,0.201094575,0.201094575,False,28.996903544770102,4.575789044949155,0.0,,,,,,
Br,3,0.600182258333333,0.600182258333333,False,97.18628820020238,4.095754124417628,0.0,,,,,,
